Freq;Amp Ch1;Amp Ch2;Modulo;Modulo dB;Fase
10;201;200,0;0,995;-0,043;0
20;201;200,0;0,995;-0,043;0
50;201;200,0;0,995;-0,043;0
100;201;200,0;0,995;-0,043;-0,36
200;201;200,0;0,995;-0,043;-0,576
500;201;200,0;0,995;-0,043;-1,8
1000;201;200,0;0,995;-0,043;-3,24
2000;201;199,0;0,990;-0,087;-6,91
5000;200;199,0;0,995;-0,044;-17,8
10000;200;193,0;0,965;-0,309;-37,4
15000;200;180,0;0,900;-0,915;-56,8
17000;200;172,0;0,860;-1,310;-65,1
19000;200;163,0;0,815;-1,777;-73,8
20000;200;156,0;0,780;-2,158;-76,9
21000;200;152,0;0,760;-2,384;-80,1
22000;200;145,0;0,725;-2,793;-84,3
23000;200;140,0;0,700;-3,098;-87,7
25000;200;128,0;0,640;-3,876;-93,6
30000;199;101,0;0,508;-5,891;-108
50000;198;41,8;0,211;-13,510;-137
