Freq;Amp Ch1;Amp Ch2;Modulo;Modulo dB;Fase;;;;
10;20;6;0,3;-10,45757491;0;;;;
50;20,2;6;0,297029703;-10,54400238;0;;;;
100;20,2;6;0,297029703;-10,54400238;0;;;;
500;20,2;6;0,297029703;-10,54400238;0;;;;
1,00E+03;20,2;6;0,297029703;-10,54400238;0;;;;
2,00E+03;20,2;6;0,297029703;-10,54400238;0,288;;;;
5,00E+03;20;6;0,3;-10,45757491;0,36;;;;
1,00E+04;20;6;0,3;-10,45757491;0,36;;;;
1,20E+04;20;6;0,3;-10,45757491;0,43;;;;
1,50E+04;20;6;0,3;-10,45757491;0,539;;;;
1,70E+04;20;6;0,3;-10,45757491;0,489;;;;
2,00E+04;20;6;0,3;-10,45757491;0,576;;;;
2,20E+04;20;6;0,3;-10,45757491;0,633;;;;
2,50E+04;20;6;0,3;-10,45757491;0,72;;;;
5,00E+04;19,6;6;0,306122449;-10,28209642;-0,72;;;;
1,00E+05;19,6;6;0,306122449;-10,28209642;-1,44;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
230000;;;;;;;;;
250000;;;;;;;;;
